RTK number	Jisho meanings
774	lightly, trifling, unimportant
775	uncle, youth
776	coach, command, urge, lead, supervise
777	loneliness, quietly, mellow, mature, death of a priest
778	graceful, gentle, pure
779	anti-
780	slope, incline, hill
781	plank, board, plate, stage
782	return, answer, fade, repay
783	marketing, sell, trade
784	claw, nail, talon
785	gentle, peace, depravity
786	milk, breasts
787	floating, float, rise to surface
788	lewdness, licentiousness
789	leader, commander, general, admiral, or, and again, soon, from now on, just about
790	exhort, urge, encourage
791	dice, form, appearance, take, gather, coloring
792	pick, take, fetch, take up
793	vegetable, side dish, greens
794	accept, undergo, answer (phone), take, get, catch, receive
795	impart, instruct, grant, confer
796	love, affection, favourite
797	dark, not clear
798	pay, clear out, prune, banish, dispose of
799	wide, broad, spacious
800	be bent, slope, capture
801	broaden, extend, expand, enlarge
802	mineral, ore
803	valve, petal, braid, speech, dialect, discrimination, dispose of, distinguish, conical cap
804	masculine, male, hero, leader, superiority, excellence
805	pedestal, a stand, counter for machines and vehicles
806	neglect, laziness
807	reign, be at peace, calm down, subdue, quell, govt, cure, heal, rule, conserve
808	melting, smelting
809	commence, begin
810	womb, uterus
811	window, pane
812	gone, past, quit, leave, elapse, eliminate, divorce
813	method, law, rule, principle, model, system
814	meeting, meet, party, association, interview, join
815	climax, arrive, proceed, reach, attain, result in
816	room, apartment, chamber, greenhouse, cellar
817	arrival, proceed, reach, attain, result in
818	doth, do, send, forward, cause, exert, incur, engage
819	mutually, reciprocally, together
820	abandon, throw away, discard, resign, reject, sacrifice
821	bring up, grow up, raise, rear
822	remove, withdraw, disarm, dismantle, reject, exclude
823	allot, fill
824	gun, arms
825	sulphur
826	current, a sink, flow, forfeit
827	license, sincerity, permit
828	tempt, seduce, instigate, promote
829	exit, leave, go out, come out, put out, protrude
830	mountain
831	bungling, clumsy, unskillful
832	boulder, rock, cliff
833	charcoal, coal
834	branch off, fork in road, scene, arena, theater
835	mountain peak, mountain pass, climax, crest, (kokuji)
836	crumble, die, demolish, level
837	secrecy, density (pop), minuteness, carefulness
838	honey, nectar, molasses
839	storm, tempest
840	promontory, cape, spit
841	cliff, bluff, precipice
842	enter, insert
843	crowded, mixture, in bulk, included, (kokuji)
844	part, minute of time, segment, share, degree, one&#39;s lot, duty, understand, know, rate, 1%, chances, shaku/100
845	poverty, poor
846	distribute, disseminate, partition, understand
847	public, prince, official, governmental
848	pine tree
849	venerable old man
850	sue, accuse
851	valley
852	bathe, be favored with, bask in
853	contain, form, looks
854	melt, dissolve, thaw
855	longing, covetousness, greed, passion, desire, craving
856	abundant, rich, fertile
857	lead
858	run alongside, follow along, run along, lie along
859	prize, reward, praise
860	party, faction, clique
861	public chamber, hall
862	usual, ordinary, normal, common, regular, continually, always, long-lasting
863	skirt
864	manipulate, rule, administer, conduct, palm of hand
865	pelt, skin, hide, leather, skin radical (no. 107)
866	waves, billows, Poland
867	old woman, grandma, wet nurse
868	expose, open
869	rend, rip, tear, break, destroy, defeat, frustrate
870	incur, cover, veil, brood over, shelter, wear, put on, be exposed (film), receiving
871	remainder, leftover, balance
872	martyrdom, follow by resigning
873	particularly, especially, exceptionally
874	augment, increase, multiply, raise
875	file, row, rank, tier, column
876	split, rend, tear
877	ardent, violent, vehement, furious, severe, extreme
878	death, die
879	interment, bury, shelve
880	wink, blink, twinkle
881	ear
882	take, fetch, take up
883	purport, gist, elegance, interest, proceed to, tend, become
884	utmost, most, extreme
885	snapshot, take pictures
886	shame, dishonor
887	post, employment, work
888	holy, saint, sage, master, priest'
889	daring, brave, bold, sad, tragic, pitiful
890	listen, headstrong, naughty, careful inquiry
891	pocket, feelings, heart, yearn, miss someone, become attached to, bosom, breast
892	ridicule, laziness
893	cartoon, involuntarily, unrestrained, in spite of oneself, corrupt
894	buy
895	placement, put, set, deposit, leave behind, keep, employ, pawn
896	penalty, punishment
897	rather, preferably, peaceful, quiet, tranquility
898	voiced, uncleanness, wrong, nigori, impurity
899	ring, circle, link, wheel
900	send back, return
901	husband, man
902	aid, help, assist
903	mountain stream, valley
904	standard, measure
905	exchange, spare, substitute, per-
906	approve, praise, title or inscription on picture, assist, agree with
907	submerge, conceal, hide, lower (voice), hush
908	lose, error, fault, disadvantage, loss
909	iron
910	transfer, alternation
911	retainer, subject
912	princess
913	storehouse, hide, own, have, possess
914	entrails, viscera, bowels
915	intelligent, wise, wisdom, cleverness
916	kidney
917	strict, hard, solid, tough, tight, reliable
918	look to, face, meet, confront, attend, call on
919	perusal, see
920	gigantic, big, large, great
921	repel, refuse, reject, decline
922	power, strength, strong, strain, bear up, exert
923	male
924	labor, thank for, reward for, toil, trouble
925	recruit, campaign, gather (contributions), enlist, grow violent
926	inferiority, be inferior to, be worse
927	achievement, merits, success, honor, credit
928	persuade, recommend, advise, encourage, offer
929	toil, diligent, as much as possible
930	suddenness, rise
931	encourage, be diligent, inspire
932	add, addition, increase, join, include, Canada
933	congratulations, joy
934	erect, frame, mount, support, shelf, construct
935	armpit, the other way, another place, flank, supporting role
936	threaten, coerce
937	co-, cooperation
938	going, journey, carry out, conduct, act, line, row, bank
939	rhythm, law, regulation, gauge, control
940	restore, return to, revert, resume
941	gain, get, find, earn, acquire, can, may, able to, profit, advantage, benefit
942	accompany, obey, submit to, comply, follow, secondary, incidental, subordinate
943	on foot, junior, emptiness, vanity, futility, uselessness, ephemeral thing, gang, set, party, people
944	wait, depend on
945	journey, travel, chase away, let go, going, before, formerly
946	subjugate, attack the rebellious, collect taxes
947	diameter, path, method
948	he, that, the
949	duty, war, campaign, drafted labor, office, service, role
950	benevolence, virtue, goodness, commanding respect
951	penetrate, clear, pierce, strike home, sit up (all night)
952	indications, sign, omen, symptom, collect, seek, refer to, question
953	penal, chastise, punish, discipline
954	delicate, minuteness, insignificance
955	boulevard, street, town
956	beam, girder, spar, unit or column (accounting)
957	equilibrium, measuring rod, scale
958	draft, copy, manuscript, straw
959	earnings, work, earn money
960	extent, degree, law, formula, distance, limits, amount
961	tax, duty
962	immature, young
963	harmony, Japanese style, peace, soften, Japan
964	shift, move, change, drift, catch (cold, fire), pass into
965	second (1/60 minute)
966	autumn
967	distress, grieve, lament, be anxious
968	private, I, me
969	regularity, salary, order
970	secret, conceal
971	appellation, praise, admire, name, title, fame
972	profit, advantage, benefit
973	pear tree
974	harvest, reap
975	ear, ear (grain), head, crest (wave)
976	rice plant
977	incense, smell, perfume
978	seasons
979	committee, entrust to, leave to, devote, discard
980	excel, excellence, beauty, surpass
981	transparent, permeate, filter, penetrate
982	entice, lead, tempt, invite, ask, call for, seduce, allure
983	think, consider
984	cereals, grain
985	germ, fungus, bacteria
986	wither, droop, lame
987	rice, USA, metre
988	flour, powder, dust
989	sticky, glutinous, greasy, persevere
990	grains, drop, counter for tiny particles
991	cosmetics, adorn (one&#39;s person)
992	astray, be perplexed, in doubt, lost, err, illusion
993	chic, style, purity, essence, pith, cream, elite, choice
994	riddle, puzzle, enigma, hint, tip
995	provisions, food, bread
996	chrysanthemum
997	heart, interior
998	number, strength, fate, law, figures
999	watchtower, lookout, high building
1000	sort, kind, variety, class, genus
1001	lacquer, varnish, seven
1002	knee, lap
1003	Esq., way, manner, situation, polite suffix
1004	request, want, wish for, require, demand
1005	ball, sphere
1006	salvation, save, help, rescue, reclaim
1007	bamboo
1008	laugh
1009	bamboo hat, one&#39;s influence
1010	bamboo grass, (kokuji)
1011	paper, label, letter, composition
1012	muscle, sinew, tendon, fiber, plot, plan, descent
1013	box, chest, case, bin, railway car
1014	writing brush, writing, painting brush, handwriting
1015	cylinder, pipe, tube, gun barrel, sleeve
1016	etc., and so forth, class (first), quality, equal, similar
1017	calculate, divining, number, abacus, probability
1018	solution, answer
1019	scheme, plan, policy, step, means
1020	register, record book
1021	fabricate, build, construct
1022	seclude oneself, cage, coop, implied
1023	person
1024	assistant, help
1025	companion, follower
1026	however, but
1027	dwell, reside, live, inhabit
1028	rank, grade, throne, crown, about, some
1029	go-between, relationship
1030	body, substance, object, reality, counter for images
1031	permanence, distant, long time, leisure
1032	affair, case, matter, item
1033	attend, doing, official, serve
1034	other, another, the others
1035	prostrated, bend down, bow, cover, lay (pipes)
1036	transmit, go along, walk along, follow, report, communicate, legend, tradition
1037	Buddha, the dead, France
1038	rest, day off, retire, sleep
1039	sham, temporary, interim, assumed (name), informal
1040	deed, skill
1041	chief, count, earl, uncle, Brazil
1042	vulgar, customs, manners, worldliness, mundane things
1043	faith, truth, fidelity, trust
1044	excellent, beautiful, good, pleasing, skilled
1045	reliant, depend on, consequently, therefore, due to
1046	example, custom, usage, precedent
1047	individual, counter for articles
1048	healthy, health, strength, persistence
1049	side, lean, oppose, regret
1050	waiter, samurai, wait upon, serve
1051	halt, stopping
1052	price, cost, value
1053	emulate, imitate
1054	be proud
1055	overthrow, fall, collapse, drop, break down
1056	spy
1057	Buddhist priest, monk
1058	hundred million, 10**8
1059	ceremony, rule, affair, case, a matter
1060	reparation, make up for, recompense, redeem
1061	hermit, wizard, cent
1062	sponsor, hold (a meeting), give (a dinner)
1063	humanity, virtue, benevolence, charity, man, kernel
1064	scorn, despise, make light of, contempt
1065	use, send on a mission, order, messenger, envoy, ambassador, cause
1066	convenience, facility, excrement, feces, letter, chance
1067	double, twice, times, fold
1068	tenderness, excel, surpass, actor, superiority, gentleness
1069	fell, strike, attack, punish
1070	inn, lodging, relay station, dwell, lodge, be pregnant, home, dwelling
1071	wound, hurt, injure, impair, pain, injury, cut, gash, scar, weak point
1072	protect, guarantee, keep, preserve, sustain, support
1073	praise, extol
1074	greatness, excellence
1075	adhere, attach, refer to, append
1076	token, sign, mark, tally, charm
1077	borough, urban prefecture, govt office, representative body, storehouse
1078	responsibility, duty, term, entrust to, appoint
1079	fare, fee, hire, rent, wages, charge
1080	substitute, change, convert, replace, period, age, counter for decades of ages, eras, etc., generation, charge, rate, fee
1081	sack, bag, pouch
1082	lend
1083	change, take the form of, influence, enchant, delude, -ization
1084	flower
1085	freight, goods, property
1086	lean, incline, tilt, trend, wane, sink, ruin, bias
1087	what
1088	baggage, shoulder-pole load, bear (a burden), shoulder (a gun), load, cargo, freight
1089	sagacious, genius, excellence
1090	bystander, side, besides, while, nearby, third person
1091	I, myself
1092	long time, old story
1093	furrow, thirty tsubo, ridge, rib
1094	captured, criminal, arrest, catch
1095	inside, within, between, among, house, home
1096	third class, 3rd, 3rd calendar sign
1097	design, pattern, build, nature, character, handle, crank, grip, knob, shaft
1098	meat
1099	rot, decay, sour
1100	squat, seat, cushion, gathering, sit
1101	crush, break, sprain, discourage
1102	graduate, soldier, private, die
1103	umbrella
1104	monme, 3.75 grams, (kokuji)
1105	by means of, because, in view of, compared with
1106	becoming, resemble, counterfeit, imitate, suitable
1107	join, get together, unite, collective
1108	tile, gram
1109	bottle, vial, jar, jug, vat, urn
1110	Shinto shrine, constellations, palace, princess
1111	occupation, camp, perform, build, conduct (business)
1112	virtuous, good, goodness
1113	small low table, tray
1114	year, counter for years
1115	night, evening
1116	fluid, liquid, juice, sap, secretion
1117	hillock, mound
1118	cash, bad habit, humble prefix, gift, Shinto offerings of cloth, rope, cut paper
1119	cover, shade, mantle, capsize, be ruined
1120	abuse, evil, vice, breakage
1121	yell, cry, call, scream, summon
1122	interchange, period, change, convert, replace, renew
1123	dissolve, melt
1124	give, bestow, perform, alms
1125	rotation, go around
1126	play
1127	trip, travel
1128	not, must not, do not, be not
1129	thing, object, matter
1130	easy, ready to, simple, fortune-telling, divination
1131	grant, gift, boon, results
1132	urine
1133	nun
1134	buttocks, hips, butt, rear
1135	mud, mire, adhere to, be attached to
1136	fence, wall, (kokuji)
1137	perform, complete, footgear, shoes, boots, put on (the feet)
1138	roof, house, shop, dealer, seller
1139	grip, hold, mould sushi, bribe
1140	yield, bend, flinch, submit
1141	dig, delve, excavate
1142	ditch, moat, canal
1143	reside, to be, exist, live with
1144	set, lay a foundation, install, equip, squat down, sit down
1145	cuff, hem, foot of mountain
1146	stratum, social class, layer, story, floor
1147	bureau, board, office, affair, conclusion, court lady, lady-in-waiting, her apartment
1148	slow, late, back, later
1149	leak, escape, time
1150	printing, print, brush
1151	shaku, Japanese foot, measure, scale, rule
1152	exhaust, use up, run out of, deplete, befriend, serve
1153	swamp, marsh, brilliance, grace
1154	translate, reason, circumstance, case
1155	choose, select, elect, prefer
1156	daytime, noon
1157	door, counter for houses, door radical (no. 63)
1158	shoulder
1159	tassel, tuft, fringe, bunch, lock (hair), segment (orange), house, room
1160	fan, folding fan
1161	hearth, furnace, kiln, reactor
1162	re-, return, revert, resume, restore, go backwards
1163	tears, sympathy
1164	employ, hire
1165	look back, review, examine oneself, turn around
1166	disclose, open, say
1167	show, indicate, point out, express, display
1168	salute, bow, ceremony, thanks, remuneration
1169	auspicious, happiness, blessedness, good omen, good fortune
1170	celebrate, congratulate
1171	blessing, fortune, luck, wealth
1172	welfare, happiness
1173	company, firm, office, association, shrine
1174	inspection, regard as, see, look at
1175	Nara, what?
1176	military officer, jailer, old man, rank
1177	consolation, amusement, seduce, cheer, make sport of, comfort, console
1178	goodwill, article, section, friendship, collusion
1179	prohibition, ban, forbid
1180	collar, neck, lapel, one&#39;s inner feelings
1181	religion, sect, denomination, main point, origin, essence
1182	adore, respect, revere, worship
1183	ritual, offer prayers, celebrate, deify, enshrine, worship
1184	guess, presume, surmise, judge, understand
1185	grate, rub, scratch, scrape, chafe, scour
1186	wherefore, a reason
1187	pluck, pull, extract, excel
1188	oil, fat
1189	sleeve, wing (building), extension, give cold shoulder
1190	mid-air, air, space, sky, memorization, interval of time
1191	deliver, reach, arrive, report, notify, forward
1192	flute, clarinet, pipe, whistle, bagpipe, piccolo
1193	axis, pivot, stem, stalk, counter for book scrolls
1194	armor, high (voice), A grade, first class, former, instep, carapace
1195	push, stop, check, subdue, attach, seize, weight, shove, press, seal, do in spite of
1196	headland, cape, spit, promontory
1197	insert, put in, graft, wear (sword)
1198	have the honor to, sign of the monkey, 3-5PM, ninth sign of Chinese zodiac
1199	expand, stretch, extend, lengthen, increase
1200	gods, mind, soul
1201	search, look for, locate
1202	fruit, reward, carry out, achieve, complete, end, finish, succeed
1203	candy, cakes, fruit
1204	chapter, lesson, section, department, division, counter for chapters (of a book)
1205	naked, nude, uncovered, partially clothed
1206	axe, 1.32 lb, catty, counter for loaves of bread, axe radical (no. 69)
1207	chop, divide, tear, analyze
1208	place, extent
1209	pray, wish
1210	near, early, akin, tantamount
1211	fold, break, fracture, bend, yield, submit
1212	philosophy, clear
1213	departed, die
1214	vow, swear, pledge
1215	beheading, kill, murder
1216	temporarily, a while, moment, long time
1217	steadily, gradually advancing, finally, barely
1218	severance, decline, refuse, apologize, warn, dismiss, prohibit, decision, judgement, cutting
1219	substance, quality, matter, temperament
1220	reject, retreat, recede, withdraw, repel, repulse
1221	accusation, sue, complain of pain, appeal to
1222	yesterday, previous
1223	lie, falsehood, deceive, pretend
1224	make, production, prepare, build
1225	snow
1226	record
1227	come off, peel, fade, discolor
1228	inquire, fathom, look for
1229	hurry, emergency, sudden, steep
1230	calm, quiet, moderation
1231	encroach, invade, raid, trespass, violate
1232	immersed, soak, dip, steep, moisten, wet, dunk
1233	lie down, sleep, rest, bed, remain unsold
1234	lady, woman, wife, bride
1235	sweep, brush
1236	hit, right, appropriate, himself
1237	same kind, collect, classify, category, hedgehog
1238	contend, dispute, argue
1239	clean, purify, cleanse, exorcise, Manchu Dynasty
1240	matter, thing, fact, business, reason, possibly
1241	T&#39;ang, China, foreign
1242	sugar
1243	ease, peace
1244	apprehend, chase
1245	Italy, that one
1246	mister, you, ruler, male name suffix
1247	flock, group, crowd, herd, swarm, cluster
1248	-proof, enduring
1249	demand, request, need
1250	Confucian
1251	edge, origin, end, point, border, verge, cape
1252	both, old Japanese coin, counter for carriages (e.g., in a train), two
1253	full, fullness, enough, satisfy
1254	brush-stroke, picture
1255	tooth, cog
1256	bend, music, melody, composition, pleasure, injustice, fault, curve, crooked, perverse, lean
1257	office, official, comrade, fellow
1258	encounter, meet, party, association, interview, join
1259	rowing, scull, paddle
1260	vat, tub, tank
1261	Big Dipper, ten sho (vol), sake dipper, dots and cross radical (no. 68)
1262	fee, materials
1263	department, course, section
1264	map, drawing, plan, extraordinary, audacious
1265	utilize, business, service, use, employ
1266	commonplace, ordinary, employment
1267	equip, provision, preparation
1268	once upon a time, antiquity, old times
1269	confused, mix, be in disorder
1270	borrow, rent
1271	pity, be sparing of, frugal, stingy, regret
1272	set aside, give up, suspend, discontinue, lay aside, except
1273	scatter, disperse, spend, squander
1274	twenty
1275	commoner, all, bastard
1276	intercept, interrupt, obstruct
1277	seat, mat, occasion, place
1278	degrees, occurrence, time, counter for occurrences, consider, attitude
1279	transit, ford, ferry, cross, import, deliver, diameter, migrate
1280	run, bustle
1281	erupt, spout, emit, flush out
1282	tomb, mound
1283	aroused, resent, be indignant, anger
1284	bake, burning
1285	daybreak, dawn, in the event
1286	half, middle, odd number, semi-, part-
1287	consort, accompany, bring with, companion
1288	paddy ridge, levee
1289	judgement, signature, stamp, seal
1290	fist
1291	ticket
1292	scroll, volume, book, part, roll up, wind up, tie, coil, counter for texts (or book scrolls)
1293	sphere, circle, radius, range
1294	victory, win, prevail, excel
1295	wisteria
1296	mimeograph, copy
1297	one-sided, leaf, sheet, right-side kata radical (no. 91)
1298	printing block, printing plate, edition, impression, label
1299	of, this
1300	destitution, scarce, limited
1301	turf, lawn
1302	negative, non-, bad, ugly, clumsy
1303	negate, no, noes, refuse, decline, deny
1304	counter for cupfuls, wine glass, glass, toast
1305	dart, arrow
1306	rectify, straighten, correct, reform, cure, control, pretend, falsify
1307	tribe, family
1308	know, wisdom
1309	wisdom, intellect, reason
1310	approach, draw near, push open
1311	halberd, arms, festival float
1312	tender, weakness, gentleness, softness
1313	task, duties
1314	fog, mist
1315	squad, corps, unit, group
1316	homecoming, arrive at, lead to, result in
1317	bow, bow (archery, violin)
1318	pull, tug, jerk, admit, install, quote, refer to
1319	condolences, mourning, funeral
1320	vast, broad, wide
1321	strong
1322	all the more, increasingly
1323	weak, frail
1324	drown, indulge
1325	seethe, boil, ferment, uproar, breed
1326	expense, cost, spend, consume, waste
1327	No., residence
1328	younger brother, faithful service to elders
1329	adroit, skilled, ingenuity
1330	nickname, number, item, title, pseudonym, name, call
1331	decay, rot, remain in seclusion
1332	boast, be proud, pride, triumphantly
1333	jaw, chin, gill
1334	dirty, pollute, disgrace, rape, defile
1335	bestow, participate in, give, award, impart, provide, cause, gift, godsend
1336	copy, be photographed, describe
1337	somebody, person, one&#39;s station in life
1338	shoot, shine into, onto, archery
1339	apologize, thank, refuse
1340	old man, old age, grow old
1341	consider, think over
1342	filial piety, child&#39;s respect
1343	teach, faith, doctrine
1344	torture, beat
1345	someone, person
1346	boil, cook
1347	renowned, publish, write, remarkable, phenomenal, put on, don, wear, arrival, finish (race), counter for suits of clothing, literary work
1348	chopsticks
1349	signature, govt office, police station
1350	sultry, hot, summer heat
1351	various, many, several, together
1352	boar
1353	strand, beach, shore
1354	gamble, wager, bet
1355	gorge, ravine
1356	cramped, narrow, contract, tight
1357	pinch, between
1358	cheeks, jaw
1359	chase, drive away, follow, pursue, meanwhile
1360	hill, mound, left village radical (no. 170)
1361	expert, teacher, master, model, exemplar, army (incl. counter), war
1362	commander, leading troops, governor
1363	bureaucrat, the government, organ
1364	coffin, casket
1365	pipe, tube, wind instrument, drunken talk, control, jurisdiction
1366	father
1367	kettle, cauldron, iron pot
1368	mingle, mixing, association, coming &amp; going
1369	merit, efficacy, efficiency, benefit
1370	contrast, compare
1371	exam, school, printing, proof, correction
1372	leg, foot, be sufficient, counter for pairs of footwear
1373	stimulate, urge, press, demand, incite
1374	catch, capture
1375	long-distance, spur, fetlock
1376	path, route, road, distance
1377	dew, tears, expose, Russia
1378	hop, leap up, spring, jerk, prance, buck, splash, sputter, snap
1379	leap, dance, skip
1380	tread, step on, trample, practice, carry through
1381	step, trample, carry through, appraise, evade payment
1382	remains, clue, footprint
1383	skeleton, bone, remains, frame
1384	slippery, slide, slip, flunk
1385	marrow, pith, essence
1386	calamity, misfortune, evil, curse
1387	whirlpool, eddy, vortex
1388	pot, pan, kettle
1389	overdo, exceed, go beyond, error
1390	heights, slope
1391	Africa, flatter, fawn upon, corner, nook, recess
1392	occasion, side, edge, verge, dangerous, adventurous, indecent, time, when
1393	hinder, hurt, harm
1394	crevice, fissure, discord, opportunity, leisure
1395	follow, though, notwithstanding, while, during, both, all, obey, submit to, comply, at the mercy of (the waves)
1396	obeisance, follow, accompany, attend on
1397	sunshine, yang principle, positive, male, heaven, daytime
1398	exhibit, state, relate, explain
1399	ward off, defend, protect, resist
1400	affixed, attach, refer to, append
1401	Inst., institution, temple, mansion, school
1402	camp, battle array, ranks, position, sudden, brief time
1403	regiment, party, company, squad
1404	crash, fall (down)
1405	descend, precipitate, fall, surrender
1406	storey, stair, counter for storeys of a building
1407	highness, steps (of throne)
1408	neighboring
1409	isolate, alternate, distance, separate, gulf
1410	conceal, hide, cover
1411	degenerate, descend to, lapse into
1412	collapse, fall into, cave in, fall (castle), slide into
1413	hole, aperture, slit, cave, den
1414	empty, sky, void, vacant, vacuum
1415	withdraw, draw in, hold back, refrain from, be moderate
1416	stab, protruding, thrust, pierce, prick, collision, sudden
1417	research, study
1418	plug up, obstruct
1419	stealth, steal, secret, private, hushed
1420	cavern
1421	depression, cave in, sink, become hollow
1422	squeeze
1423	kiln, oven, furnace
1424	hard up, destitute, suffer, perplexed, cornered
1425	grope, search, look for
1426	deep, heighten, intensify, strengthen
1427	hill, knoll
1428	point, peak, mountain
1429	soldier, private, troops, army, warfare, strategy, tactics
1430	seacoast, beach, seashore
1431	thread
1432	weave, fabric
1433	darning, repair, mend, trim, tidy up, adjust
1434	shrink, contract, shrivel, wrinkle, reduce
1435	luxuriant, thick, overgrown, frequency, complexity, trouble
1436	vertical, length, height, self-indulgent, wayward
1437	fine (i.e. not coarse)
1438	line, track
1439	be rent, ripped, unravel, run, begin to open, smile
1440	tighten, tie, shut, lock, fasten
1441	fiber, tie, rope
1442	gauze, thin silk, Rome, arrange, spread out
1443	practice, gloss, train, drill, polish, refine
1444	thong, beginning, inception, end, cord, strap, mental or emotional state
1445	continue, series, sequel
1446	picture, drawing, painting, sketch
1447	overall, relationship, ruling, governing
1448	strangle, constrict, wring
1449	salary, wage, gift, allow, grant, bestow on
1450	entwine, coil around, get caught in
1451	tie, bind, contract, join, organize, do up hair, fasten
1452	end, finish
1453	class, rank, grade
1454	chronicle, account, narrative, history, annals, geologic period
1455	crimson, deep red
1456	settlement, obtain, reap, pay, supply, store
1457	spinning
1458	distract, be mistaken for, go astray, divert
1459	introduce, inherit, help
1460	sutra, longitude, pass thru, expire, warp
1461	sire, good belt, gentleman
1462	promise, approximately, shrink
1463	dainty, get thin, taper, slender, narrow, detailed, precise
1464	accumulate, involvement, trouble, tie up, continually
1465	cord, rope, searching, inquiring
1466	general, whole, all, full, total
1467	cotton
1468	silk
1469	winding, reel, spin, turn (pages), look up, refer to
1470	inherit, succeed, continue, patch, graft (tree)
1471	green
1472	affinity, relation, connection, edge, border, verge, brink
1473	netting, network
1474	tense, solid, hard, reliable, tight
1475	purple, violet
1476	truss, arrest, bind, tie, restrain
1477	straw rope, cord
1478	infancy, childhood
1479	behind, back, later
